ID,Latitude,Longitude,Dataset,Datum,Error Radius (m),Accuracy: Square Meters,Plant,Observer,Date,Source,County,Location Description,Location Quality,Citation
io88322,33.540953,-117.549463,mgr,WGS84,4,50,Peritoma arborea var. arborea,Ron Vanderhoff,2023-05-07,NA,Orange,"San Juan Trail, 300-400m N Ortega Flats Campground, Ronald W, Caspers Wilderness Park",high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
io87673,33.990647,-120.048019,mgr,WGS84,4,50,Peritoma arborea,David Strauch,2023-04-30,NA,Santa Barbara,"Water Canyon CG, Santa Rosa Island, Channel Islands NP",high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
io87256,34.44876,-119.68116,mgr,WGS84,5,78,Peritoma arborea var. arborea,Keir Morse,2023-04-27,NA,Santa Barbara,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mg200984,36.708258,-120.810246,mgr,WGS84,11,407,Peritoma arborea var. globosa,R.A. Chasey,2023-04-23,NA,Fresno,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mg198257,34.044606,-116.567289,mgr,WGS84,9,236,Peritoma arborea,Ryan O'Dell,2023-04-02,NA,San Bernardino,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mg198041,35.364073,-117.975829,mgr,WGS84,6,121,Peritoma arborea var. globosa,Ryan O'Dell,2023-03-30,NA,Kern,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mg198025,35.545454,-118.958794,mgr,WGS84,9,245,Peritoma arborea var. globosa,Ryan O'Dell,2023-03-29,NA,Kern,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
io80448,33.70987,-117.618378,mgr,WGS84,4,50,Peritoma arborea,Ron Vanderhoff,2022-12-31,NA,Orange,Tucker Wildlife Sanctuary,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mu26993,34.166558,-119.041326,mgr,WGS84,8,201,Peritoma arborea,Steven M Norris,2022-12-18,NA,Ventura,"CSUCI campus, north face of hill to north of Sage Hall, among large jumble of boulders.",high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mu22974,34.7617,-118.7269,mgr,WGS84,50,7854,Peritoma arborea var. globosa,John L. Thompson,2022-04-24,NA,Los Angeles,"On a slope above the Old Ridge Road, about 0.4 mile from Lancaster Road. 33814 Ridge Rte Rd, Lancaster, CA 93536, USA",high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
io64542,33.335163,-117.507042,mgr,WGS84,4,50,Peritoma arborea,Grigory Heaton,2022-04-17,NA,San Diego,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
io64854,35.11273,-119.514437,mgr,WGS84,3,28,Peritoma arborea,David Strauch,2022-04-15,NA,Kern,East slope Temblor Mountains,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
