x,y,month,year,aet,tmx,ppt_winter_sum,tmx_summer_mean,cec,drclass,om,ph,tdiff,presence
-121.69167,38.49472,3,2000,20.899999618530273,18.729999542236328,333.30999755859375,31.540000915527344,28.877182006835938,5,0.7230512499809265,7.814408302307129,12.3,1
-117.03333,32.88333,4,2000,39.7400016784668,23.81999969482422,132.00999450683594,29,12.5,3,0.7400000095367432,5.190000057220459,14.06,1
-120.1642,35.6111,4,2000,132.1999969482422,22.75,174.75,33.53666687011719,14.804285049438477,3,1.1008697748184204,8.075983047485352,16.9,1
-122.342694,38.840056,4,2000,74.56999969482422,21.84000015258789,471.8999938964844,32.133331298828125,18.144285202026367,2,1.7668379545211792,6.198534965515137,14.81,1
-118.30019,34.23969,5,2000,44.08000183105469,25.34000015258789,268.3399963378906,30.220001220703125,9.68000030517578,3,0.7599999904632568,7.300000190734863,13.01,1
-121.6874376,38.491776,5,2000,54.7400016784668,26.350000381469727,333.7200012207031,31.47333335876465,29.2016544342041,6,0.6216109991073608,8.173346519470215,14.99,1
-118.301472,34.231611,6,2000,80.66999816894531,28.200000762939453,264.8299865722656,30.200000762939453,6.889999866485596,3,0.5799999833106995,6.900721549987793,13.41,1
-115.73306,34.24889,3,2001,0,22.399999618530273,48.779998779296875,38.279998779296875,6.3636932373046875,1,0.46549344062805176,8.107166290283203,13.62,1
-121.6874376,38.48761,3,2001,30.670000076293945,20.510000228881836,223.27000427246097,31.989999771118164,26.998411178588867,3,0.4233329594135285,7.639028549194336,13.41,1
-119.9,35.933889,3,2001,0,21.1299991607666,92.5500030517578,35.65666580200195,13.588157653808594,4,0.5743463635444641,7.653979778289795,12.4,1
-120.26716,35.7138,4,2001,105.63999938964844,20.100000381469727,191.3999938964844,34.599998474121094,22.242639541625977,3,1.8050239086151123,7.260869979858398,16.67,1
-116.55667,32.61389,4,2001,68.36000061035156,17.770000457763672,177,32.150001525878906,6.272866249084473,2,2.780195474624634,6.713380813598633,15.4,1
-119.725,35.1,4,2001,0,18.290000915527344,160.4600067138672,33.72333526611328,13,3,0.15000000596046448,8.199999809265137,13.35,1
-117.40139,34.54194,4,2001,17.540000915527344,21.440000534057617,99.54000091552734,35.72999954223633,3.3712682723999023,2,0.27418088912963867,7.900000095367432,16.8,1
-117.59111,35.43222,5,2001,0,32.2599983215332,120.83999633789064,35.856666564941406,3.3399999141693115,3,0.28999999165534973,8.279999732971191,15.56,1
-119.82533,35.35233,5,2001,10.010000228881836,28.420000076293945,213.02000427246097,31.933334350585938,19.28335952758789,3,1.9976983070373535,7.502591133117676,17.09,1
-116.745,32.87722,5,2002,36.34000015258789,24.219999313354492,62.029998779296875,31.68000030517578,10.140000343322754,2,0.5699999928474426,6.170000076293945,17.16,1
-116.74528,32.88167,5,2002,22.989999771118164,24.260000228881836,61.37999725341797,31.65999984741211,10.140000343322754,2,0.5699999928474426,6.170000076293945,17.08,1
-122.3967,37.5333,5,2002,102.48999786376952,18.84000015258789,444.8200073242187,23.010000228881836,13.450910568237305,3,1.198071837425232,5.9222636222839355,11.3,1
-117.96331,35.71331,3,2003,70.62999725341797,15.710000038146973,114.4499969482422,34,4.559200763702393,1,0.28999999165534973,7.903289318084717,13.45,1
-114.64811,34.32131,3,2003,0,23.350000381469727,74.19999694824219,40.526668548583984,10.479999542236328,3,0.33000001311302185,8.270000457763672,14.37,1
-120.933889,36.914167,3,2003,38.439998626708984,19.239999771118164,137.83999633789065,33.47999954223633,13.872779846191406,3,0.4851958453655243,8.128714561462402,13.54,1
-120.576389,36.561389,3,2003,39.58000183105469,19.93000030517578,133.6999969482422,33.80666732788086,18.110000610351563,3,0.3799999952316284,7.539999961853027,14.04,1
-114.4717,34.263833,3,2003,0,22.719999313354492,82.95999908447266,40.12333297729492,10.07394790649414,3,0.3383692800998688,8.2161226272583,13.75,1
-114.228056,34.201944,3,2003,25.200000762939453,25.3700008392334,54.810001373291016,41.90999984741211,9.698163986206056,3,0.34975528717041016,8.275132179260254,14.08,1
-114.625967,34.332117,3,2003,0,23.110000610351563,76.75,40.38999938964844,9.30697536468506,3,0.3027866780757904,8.17837905883789,14.22,1
-116.45583,34.14917,4,2003,0,18.3700008392334,98.18000030517578,33.69333267211914,9.270000457763672,2,1.9700000286102295,6.599999904632568,14.65,1
-116.74306,32.85917,4,2003,117.4000015258789,17.489999771118164,229.6499938964844,31.1733341217041,26.39858627319336,3,0.4170611500740051,6.961384296417236,12.94,1
-119.38924,34.75163,4,2003,70.91999816894531,16.959999084472656,206.02000427246097,33.556663513183594,9.8106689453125,3,0.5406280159950256,7.21115779876709,16.18,1
-118.59861,34.50833,4,2003,72.80999755859375,18.610000610351563,251.22000122070313,32.27000045776367,19.15999984741211,3,0.3799999952316284,7.400000095367432,12.8,1
-117.45417,34.3,4,2003,74.279998779296875,17.31999969482422,252.29998779296875,32.369998931884766,6.510814189910889,2,0.42438212037086487,6.699999809265137,12.95,1
-116.33778,32.63611,5,2003,84.18000030517578,23.010000228881836,189.5699920654297,31.483333587646484,4.300000190734863,2,0.7599999904632568,6.699999809265137,18.11,1
