x,y,month,year,aet,tmx,ppt_winter_sum,tmx_summer_mean,cec,drclass,om,ph,tdiff,presence
-119.9,35.933889,3,2001,0,21.1299991607666,92.5500030517578,35.65666580200195,13.588157653808594,4,0.5743463635444641,7.653979778289795,12.4,1
-119.36417,35.32222,3,2004,0,24.670000076293945,85.37999725341797,34.75,24.489999771118164,4,0.20999999344348907,8.199999809265137,15.08,1
-119.545667,35.390333,3,2005,0,20.579999923706055,123.97000122070313,35.15999984741211,12.605446815490724,3,0.20367957651615143,8.17622184753418,12.15,1
-119.40093,34.94695,3,2009,0,15.65999984741211,149.55999755859375,31.790000915527344,19.030126571655273,3,0.878420889377594,7.602705478668213,14.65,1
-119.352889,34.962111,4,2009,0,21.540000915527344,108.9499969482422,32.71666717529297,22.973722457885746,3,0.8339617848396301,7.002751350402832,16.32,1
-119.388806,34.945306,4,2009,19.979999542236328,20.030000686645508,158.3199920654297,31.56999969482422,21.4183349609375,3,0.9133564233779908,7.317498683929443,17.14,1
-119.35027,34.95453,4,2009,0,21.770000457763672,101.77999877929688,32.893333435058594,17.24493408203125,3,0.49656155705451965,7.42154598236084,16.22,1
-119.3489,34.95954,4,2010,0,18.510000228881836,141.27999877929688,32.83000183105469,17.364728927612305,3,0.71707916259765625,7.632275581359863,14.14,1
-119.57836,35.63737,4,2010,0,20.38999938964844,148.02000427246094,34.10333251953125,11.870742797851564,3,0.01938633248209953,8.935227394104004,13.94,1
-120.843333,38.761944,5,2010,145.3000030517578,20.299999237060547,421.72998046875,31.52666664123535,16.951946258544922,3,0.907582700252533,5.278752326965332,13.67,1
-119.4012,34.9475,4,2011,87.95999908447266,19.06999969482422,232.1300048828125,31.303333282470703,19.030126571655273,3,0.878420889377594,7.602705478668213,15.75,1
-120.341494,35.453041,3,2012,34.529998779296875,17.989999771118164,75.779998779296875,34.02000045776367,21.73748779296875,3,1.9254900217056272,6.56601619720459,16.4,1
-119.407383,35.399983,3,2013,0,22.75,37.7599983215332,35.310001373291016,12.457533836364746,3,0.03481425344944,8.87667465209961,15.41,1
-119.661419,35.392156,3,2013,0,22.260000228881836,33.68000030517578,34.996665954589844,17.806718826293945,3,0.3699454665184021,7.9433913230896,14.7,1
-118.68117,35.003660000000004,3,2014,35.279998779296875,17.149999618530273,44.72999954223633,30.74333381652832,7.803247451782227,3,1.1230629682540894,7.018962383270264,13.25,1
-119.331806,35.355135,2,2016,0,19.950000762939453,83.36000061035156,36.29666519165039,11.795015335083008,3,0.07611852139234543,8.6749725341796875,14.68,1
-119.598291,35.616254,3,2016,0,22.1200008392334,95.18000030517578,36.81999969482422,19.160991668701172,3,0.09593342244625092,8.9071683883667,14.34,1
-119.575045,35.603858,3,2016,13.859999656677246,22.18000030517578,93.79000091552734,36.79999923706055,14.939001083374023,3,0.1944756656885147,8.399699211120605,14.42,1
-119.538515,35.50025,3,2016,0,22.31999969482422,90.11000061035156,36.62333297729492,12.32429027557373,3,0.03676234185695648,8.89513111114502,14.47,1
-119.815553,35.833438,3,2016,0,21.8799991607666,96.220001220703125,36.7400016784668,22.1200008392334,3,0.38999998569488525,7.5,14.02,1
-119.27067,34.93007,3,2018,26.469999313354492,12.989999771118164,44.709999084472656,31.6200008392334,16.411235809326172,3,0.9113869667053224,7.604100227355957,10.29,1
-119.645417,35.376063,3,2019,49,19,90.1300048828125,35.45333480834961,7.5,3,0.1984735876321793,8.014795303344727,12.02,1
-119.626862,35.291225,3,2019,55.4900016784668,17.459999084472656,114.66000366210938,34.68333435058594,5.993539333343506,3,0.39969712495803833,7.94972562789917,10.92,1
-119.35942,35.34137,4,2019,0,26.25,96.31999969482422,35.49333190917969,23.83634376525879,4,0.4503774046897888,8.199999809265137,15,1
-119.601244,35.113645,4,2019,40.2400016784668,22.3799991607666,159.58999633789065,33.2400016784668,12.911592483520508,3,0.2672100365161896,8.199999809265137,13.97,1
